"","ukr","en","","","NOTES – use \n for newline","max length"
"actiondesc_homing_cursor","A projectile rotates towards the direction you're aiming","A projectile rotates towards the direction you're aiming","","","",""
"booktitle_mestari","A Cunning Contraption","A Cunning Contraption","","","",""
"bookdesc_mestari","”The secret lies in music!\n\nThe key to the heavens' lock is borne from music all over the world.\n\nAnd in a way, as above, so below...”","”The secret lies in music!\n\nThe key to the heavens' lock is borne from music all over the world.\n\nAnd in a way, as above, so below...”","","","",""
"biome_mestari_secret","Tronnoğo zalu","Throne room","","","",""
"streamingevent_fireworks","Fireworks!","Fireworks!","","","",""
"streamingeventdesc_fireworks","Entirely safe (for a given value of safe)","Entirely safe (for a given value of safe)","","","",""
"streamingevent_holiday_mood","Holiday Mood","Holiday Mood","","","",""
"streamingeventdesc_holiday_mood","Let it be snow","Let it be snow","","","",""
"streamingeventdesc_holiday_mood_2","Let it snow","Let it snow","","","",""
"perk_contact_damage","Contact Damage","Contact Damage","","","",""
"perkdesc_contact_damage","Enemies near you take damage; the damage is higher the lower your health gets.","Enemies near you take damage; the damage is higher the lower your health gets.","","","",""
"mat_metal_sand","Metal dust","Metal dust","","","",""
"mat_metal_sand_molten","Molten metal","Molten metal","","","",""
"item_evil_eye","Paha Silmä","Paha Silmä","","","transliterate",""
"item_description_evil_eye","This eye-shaped artefact projects a malevolent glare","This eye-shaped artefact projects a malevolent glare","","","",""
"animal_lukki_dark","Kammolukki","Kammolukki","","","",""
"item_wand_kiekurakeppi","Kiekurakeppi","Kiekurakeppi","","","Transliterate",""
"item_wand_valtikka","Valtikka","Valtikka","","","Transliterate",""
"action_sigma","Sigma","Sigma","","","Transliterate",""
"actiondesc_sigma","Copies every static projectile -type spell in the wand when cast","Copies every static projectile -type spell in the wand when cast","","","",""
"action_tau","Tau","Tau","","","Transliterate",""
"actiondesc_tau","Copies the two following spells in the wand when cast","Copies the two following spells in the wand when cast","","","",""
"material_transformed","$0 (Transformed)","$0 (Transformed)","","","This is used for the names of some alchemically created materials, e.g. blood converted into water → “Water (Transformed)”",""
"logdesc_reality_mutation","You hear the word “$0” echoing and shifting in colours","You hear the word “$0” echoing and shifting in colours","","","",""
"action_laser_emitter_cutter","Plazmovyj rizak","Plasma Cutter","","","",""
"actiondesc_laser_emitter_cutter","Plazmovyj prominj, ŝo specializujetjsja na rizanni materialiv! Takož efektyvnyj v vbyvstvi voroğiv... ta vas.","A plasma beam specialized in cutting materials!","","","",""
"action_laser_emitter_wider","Plasma Beam Enhancer","Plasma Beam Enhancer","","","",""
"actiondesc_laser_emitter_wider","Makes plasma beam spell's beam wider","Makes plasma beam spell's beam wider","","","",""
"item_chest_treasure_pacifist","A Pacifist's Reward","A Pacifist's Reward","","","",""
"biomemodifierdesc_high_gravity","Povitrja zdajetjsja važkym...","The air feels heavy...","","","",""
"biomemodifierdesc_low_gravity","Povitrja zdajetjsja leğkym...","The air feels light...","","","Light as in ”not heavy”",""
"streamingevent_rain_blackhole","Gravity Storm","Gravity Storm","","","",""
"streamingeventdesc_rain_blackhole","Multiple black holes open in your vicinity!!","Multiple black holes open in your vicinity!!","","","",""
"animal_necromancer_super","Skoude","Skoude","","","Transliterate",""
"input_xboxbutton_dpad_up","D-Pad up","D-Pad up","","","XBox 360 controller buttons",""
"input_xboxbutton_dpad_down","D-Pad down","D-Pad down","","","XBox 360 controller buttons",""
"input_xboxbutton_dpad_left","D-Pad left","D-Pad left","","","XBox 360 controller buttons",""
"input_xboxbutton_dpad_right","D-Pad right","D-Pad right","","","XBox 360 controller buttons",""
"input_xboxbutton_back","BACK","BACK","","","XBox 360 controller buttons",""
"input_xboxbutton_left_thumb","Left thumb","Left thumb","","","XBox 360 controller buttons",""
"input_xboxbutton_right_thumb","Right thumb","Right thumb","","","XBox 360 controller buttons",""
"input_xboxbutton_left_shoulder","Left shoulder","Left shoulder","","","XBox 360 controller buttons",""
"input_xboxbutton_right_shoulder","Right shoulder","Right shoulder","","","XBox 360 controller buttons",""
"input_xboxbutton_left_stick_moved","Left stick","Left stick","","","XBox 360 controller buttons",""
"input_xboxbutton_right_stick_moved","Right stick","Right stick","","","XBox 360 controller buttons",""
"input_xboxbutton_a","A","A","","","(Doesn't need to be translated) XBox 360 controller buttons",""
"input_xboxbutton_b","B","B","","","(Doesn't need to be translated) XBox 360 controller buttons",""
"input_xboxbutton_x","X","X","","","(Doesn't need to be translated) XBox 360 controller buttons",""
"input_xboxbutton_y","Y","Y","","","(Doesn't need to be translated) XBox 360 controller buttons",""
"input_xboxbutton_4","Button #5","Button #5","","","XBox 360 controller buttons",""
"input_xboxbutton_5","Button #6","Button #6","","","XBox 360 controller buttons",""
"input_xboxbutton_6","Button #7","Button #7","","","XBox 360 controller buttons",""
"input_xboxbutton_7","Button #8","Button #8","","","XBox 360 controller buttons",""
"input_xboxbutton_8","Button #9","Button #9","","","XBox 360 controller buttons",""
"input_xboxbutton_9","Button #10","Button #10","","","XBox 360 controller buttons",""
"input_xboxbutton_10","Button #11","Button #11","","","XBox 360 controller buttons",""
"input_xboxbutton_11","Button #12","Button #12","","","XBox 360 controller buttons",""
"input_xboxbutton_12","Button #13","Button #13","","","XBox 360 controller buttons",""
"input_xboxbutton_13","Button #14","Button #14","","","XBox 360 controller buttons",""
"input_xboxbutton_14","Button #15","Button #15","","","XBox 360 controller buttons",""
"input_xboxbutton_15","Button #16","Button #16","","","XBox 360 controller buttons",""
"input_xboxbutton_left_stick_left","Left stick left","Left stick left","","","XBox 360 controller buttons",""
"input_xboxbutton_left_stick_right","Left stick right","Left stick right","","","XBox 360 controller buttons",""
"input_xboxbutton_left_stick_up","Left stick up","Left stick up","","","XBox 360 controller buttons",""
"input_xboxbutton_left_stick_down","Left stick down","Left stick down","","","XBox 360 controller buttons",""
"input_xboxbutton_right_stick_left","Right stick left","Right stick left","","","XBox 360 controller buttons",""
"input_xboxbutton_right_stick_right","Right stick right","Right stick right","","","XBox 360 controller buttons",""
"input_xboxbutton_right_stick_up","Right stick up","Right stick up","","","XBox 360 controller buttons",""
"input_xboxbutton_right_stick_down","Right stick down","Right stick down","","","XBox 360 controller buttons",""
"input_xboxbutton_analog_00","Left trigger","Left trigger","","","XBox 360 controller buttons",""
"input_xboxbutton_analog_01","Right trigger","Right trigger","","","XBox 360 controller buttons",""
"input_xboxbutton_analog_02","Analog button #3","Analog button #3","","","XBox 360 controller buttons",""
"input_xboxbutton_analog_03","Analog button #4","Analog button #4","","","XBox 360 controller buttons",""
"input_xboxbutton_analog_04","Analog button #5","Analog button #5","","","XBox 360 controller buttons",""
"input_xboxbutton_analog_05","Analog button #6","Analog button #6","","","XBox 360 controller buttons",""
"input_xboxbutton_analog_06","Analog button #7","Analog button #7","","","XBox 360 controller buttons",""
"input_xboxbutton_analog_07","Analog button #8","Analog button #8","","","XBox 360 controller buttons",""
"input_xboxbutton_analog_08","Analog button #9","Analog button #9","","","XBox 360 controller buttons",""
"input_xboxbutton_analog_09","Analog button #10","Analog button #10","","","XBox 360 controller buttons",""
"input_leftshift","left shift","left shift","","","keyboard inputs",""
"input_rightshift","right shift","right shift","","","keyboard inputs",""
"controls_aim_stick","aim","aim","","","for options menu - rebinding controller actions",""
"controls_drop_item","(UI) drop item","(UI) drop item","","","for options menu - rebinding controller actions",""
"controls_drink_potion","(UI) drink potion","(UI) drink potion","","","for options menu - rebinding controller actions",""
"controls_ui_confirm","(UI) confirm","(UI) confirm","","","for options menu - rebinding controller actions",""
"controls_ui_drag","(UI) drag","(UI) drag","","","for options menu - rebinding controller actions",""
"controls_takescreenshot","take screenshot","take screenshot","","","label for rebinding keys in options",""
"controls_ui_quick_drag","(UI) auto drag","(UI) auto drag","","","for options menu - rebinding dragging modifier",""
"perk_adventurer","Healthy Exploration","Healthy Exploration","","","",""
"perkdesc_adventurer","Every time you visit a new area, you regain 60 health.","Every time you visit a new area, you regain 60 health.","","","",""
"log_adventurer","New area reached! You regain 60 health.","New area reached! You regain 60 health.","","","",""
"action_damage_forever","Mana To Damage","Mana To Damage","","","",""
"actiondesc_damage_forever","If the wand has more than 50 mana, all mana over that is converted into additional damage","If the wand has more than 50 mana, all mana over that is converted into additional damage","","","",""
"action_homing_area","Projectile Area Teleport","Projectile Area Teleport","","","",""
"actiondesc_homing_area","If a valid target appears somewhere in the proximity of a projectile, the projectile will teleport right on top of the target","If a valid target appears somewhere in the proximity of a projectile, the projectile will teleport right on top of the target","","","",""
"animal_snowcrystal","Haamukivi","Haamukivi","","","Transliterate",""
"ethereal_damage","Ghostly touch","Ghostly touch","","","",""
"animal_ethereal_being","Olematon","Olematon","","","Transliterate",""
"perkdesc_exploding_gold","Zoloto, ŝo vypadaje z voroğiv, vybuxaje koly znykaje, pidbyrajetjsja abo joğo torkajetjsja inši voroğy!","Gold dropped by enemies explodes when it disappears, is picked up or touched by other enemies!","","","",""
"action_bomb_detonator","Explosive Detonator","Explosive Detonator","","","",""
"actiondesc_bomb_detonator","All nearby explosive spells cast by you instantly detonate","All nearby explosive spells cast by you instantly detonate","","","",""
"logdesc_temple_upgrade_guardian","The Gods are enraged","The Gods are enraged","","","",""
